YEAR,Car_Age,MILEAGE,CAR_PRICE
2023,0,0,"82,115"
2021,2,"23,384","36,500"
2020,3,"50,607","29,918"
2019,4,"43,515","35,987"
2019,4,"81,707","27,495"
2018,5,"60,814","29,995"
2021,2,"73,341","30,775"
2012,11,"125,100","10,500"
2019,4,"36,000","31,761"
2017,6,"95,599","24,691"
